"","","OPEN INTEREST AT THE BEGINNING OF NEW EXPIRY","","","","","","","","","","","","","OPENING PRICE","",""
"Symbol (214)","","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","Jan 26","Feb 26","Mar 26","Apr 26","May 26","Jun 26","MoM OI Chg %","May 26","Jun 26","MoM Price Chg%"
"WAAREEENER","-","-","-","-","-","-","-","-","2282000","2570750","3274075","5261725","5532450","5.15","3466.7","3107.6","-10.36"
"ADANIGREEN","-","17610000","19816200","18153600","19355400","21544800","22767000","24180000","22944000","22312200","21882600","20242800","21261000","5.03","1257.55","1468.4","16.77"
"MAXHEALTH","-","10356675","10678500","13138650","18045825","15704325","15899625","21930825","17925600","13331325","12902925","13118700","13741350","4.75","1010.8","1000","-1.07"
"MAZDOCK","-","3319225","3063375","3306275","3552675","4437650","3783700","5117600","4381400","4165600","4938200","4030800","4216050","4.6","2697.2","2473.5","-8.29"
"FEDERALBNK","-","78525000","77280000","91510000","88805000","81955000","53880000","54020000","51455000","50315000","82010000","76885000","80370000","4.53","292.55","291.55","-0.34"
"BDL","-","2849925","3879200","5342350","4350450","4047225","4661550","5336800","4793600","5462800","4566100","3188150","3314925","3.98","1399.2","1324.6","-5.33"
"AXISBANK","-","65603125","97119375","103586250","87287500","71956875","71959375","77949375","85845000","60580625","69916250","64090625","66494375","3.75","1297.5","1307","0.73"
"SBICARD","-","12788800","14005600","12126400","15551200","19732000","14429600","15664800","15699200","19852000","24059200","25160800","25964800","3.2","647.95","620.4","-4.25"
"ADANIENT","-","17953200","18085200","15608400","13560900","14162700","14330802","21840120","20078511","17430690","18338841","19349580","19965417","3.18","2428","2986","22.98"
"CIPLA","-","12465000","11882250","10818375","10897500","16225500","13818375","12576375","15061875","13148625","12996000","14329875","14782050","3.16","1310.8","1417","8.1"
"VOLTAS","-","11001000","9763500","9811500","11965500","12423000","11053125","10165875","11872875","9971250","11878500","9724125","10027125","3.12","1494.9","1261.8","-15.59"
"TATASTEEL","-","184486500","180895000","180521000","176885500","216254500","259055500","258791500","263516000","210336500","194656000","186285000","191721750","2.92","216.39","208.1","-3.83"
"IREDA","-","32150550","37087500","34079100","35238300","36387150","41344800","48638100","59288250","63662850","52519350","45598650","46871225","2.79","138.66","127.33","-8.17"
"INDUSINDBK","-","42847700","48841100","50579900","54783400","55073200","45066700","44753100","36017800","34698300","39608100","36146600","37107700","2.66","891.75","937.35","5.11"
"PFC","-","53045200","48664200","54094300","45834100","59303400","74441900","80181400","63571300","57804500","60890700","56141800","57625100","2.64","479.25","434.5","-9.34"
"BAJFINANCE","-","99013500","92869500","93928500","87813000","87536250","94920750","88226250","93801750","78498750","72020250","71552250","73353000","2.52","928.8","928.1","-0.08"
"BHEL","-","56781375","52198125","62406750","58818375","61165125","51289875","65186625","77490000","115615500","111176625","118867875","121831500","2.49","355.86","420.35","18.12"
"MUTHOOTFIN","-","3506250","3131150","3398725","2836350","2826175","2562175","3568950","3744400","4747050","3894550","3623125","3712500","2.47","3520.3","3336.8","-5.21"
"COALINDIA","-","76096800","72334350","71575650","68558400","49783950","56947050","55908900","39017700","41967450","51335100","55734750","57056400","2.37","469.35","456.55","-2.73"
"LT","-","15427300","16201675","14752850","16763950","15259125","13264650","13730500","15337700","13408150","16258375","14280875","14581000","2.1","4056.6","4057.7","0.03"
"UNOMINDA","-","2264350","1948100","4072200","3043700","3654200","4158000","4137100","5085300","6252950","4450050","4298250","4383500","1.98","1132.8","1121","-1.04"
"TECHM","-","13540200","16567800","15072600","15065400","16941000","22849800","18950400","19132800","20413200","20200200","18069600","18333600","1.46","1411.8","1452.3","2.87"
"GLENMARK","-","9460125","7309500","7586625","7287375","9190875","15163500","12188250","11107125","11051625","11305125","11157375","11295750","1.24","2419.4","2372.2","-1.95"
"BAJAJFINSV","-","16814000","16236500","17017500","17317500","17705500","18403250","18052500","14950000","12717750","11139250","10916250","11029800","1.04","1789.6","1810.6","1.17"
